method,subgroup_variable,subgroup_level,n,positive_n,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
BRL,race_ethnicity,3.0,1630,241,0.6572282516153894,0.25858369098712447,0.1253694171168518,0.004119107751042433,0.41655619784957687,25.66781366018324,16.013870336272216
BRL,race_ethnicity,4.0,1216,196,0.5925195078031213,0.2776203966005666,0.13464658433695645,0.006290223506937781,0.43953194968590575,11.70533245065977,7.895548151083515
BRL,race_ethnicity,6.0,777,122,0.6386997872606682,0.271412680756396,0.13154473796775304,0.0019003388830519663,0.4315608427844813,15.052473812341564,9.918516310342975
BRL,race_ethnicity,7.0,262,50,0.6571698113207547,0.32051282051282054,0.15458150817993951,0.03470735555215379,0.4878443311263804,19.022042102864877,12.186191311480064
EBM,race_ethnicity,1.0,705,137,0.8218232754189371,0.5,0.1194284286761766,0.0239182728947361,0.3799628823802586,-0.041120268668545575,1.0603863615063778
EBM,race_ethnicity,2.0,494,79,0.8202684154338874,0.4437299035369775,0.11241978982160211,0.040756533055814094,0.354704022451556,-0.32469712496376096,1.0193881403809344
EBM,race_ethnicity,3.0,1630,241,0.855097401336524,0.4553191489361702,0.09571920873592121,0.04958757593759728,0.31367879653862046,-0.2359136753044738,1.2193226934228547
EBM,race_ethnicity,4.0,1216,196,0.8200855342136855,0.4282238442822384,0.11334480954545413,0.053060964244399995,0.35927383687774883,-0.39272502286762995,1.0547565412852675
EBM,race_ethnicity,6.0,777,122,0.8497434613940683,0.5080213903743316,0.10028216370335179,0.029387639042172044,0.32338511885408344,0.545874223623297,1.268084081580795
EBM,race_ethnicity,7.0,262,50,0.8567924528301887,0.5844155844155844,0.1136991673387818,0.08226061935517441,0.3552284423749483,0.2215065391407319,1.1401368821872109
EBRO-MH,race_ethnicity,1.0,705,137,0.7683702580446181,0.4550898203592814,0.13609053494115814,0.03893368374462442,0.4265456421352607,0.4086389348307122,1.237107452535536
EBRO-MH,race_ethnicity,2.0,494,79,0.7306542626201006,0.3746397694524496,0.1227618435288725,0.03002469629080671,0.39717345644248486,-0.16557029653796337,1.0292169817554941
EBRO-MH,race_ethnicity,3.0,1630,241,0.8094706780304048,0.40187793427230045,0.10547793108013725,0.03817350078102942,0.3491057485270655,0.2814008281776964,1.439037842885253
EBRO-MH,race_ethnicity,4.0,1216,196,0.7698129251700682,0.4167664670658683,0.12096042568028006,0.03328378094078613,0.3881065179868353,0.22281235724577947,1.2668905639177208
EBRO-MH,race_ethnicity,6.0,777,122,0.7840508071580529,0.44607843137254904,0.11666034136608194,0.05221868532632403,0.3771108442736262,1.038837084095341,1.5368202851443773
EBRO-MH,race_ethnicity,7.0,262,50,0.8226415094339623,0.5028571428571429,0.1266854198298737,0.05009957572897268,0.39925399031612196,0.9395934808710212,1.591833858448662
LR,race_ethnicity,1.0,705,137,0.8098720057571709,0.5152224824355972,0.12669808424240403,0.032219802781584796,0.394577994820997,0.22344913271324654,1.0641232513795722
LR,race_ethnicity,2.0,494,79,0.8017538508464237,0.4482758620689655,0.11350321526683796,0.0381397587591161,0.36446158347988644,-0.2746805269090814,0.938069255403061
LR,race_ethnicity,3.0,1630,241,0.8322773182294793,0.4269889224572004,0.10139558437467493,0.05472540493069655,0.332516396378352,-0.36815599372858454,1.128282394072701
LR,race_ethnicity,4.0,1216,196,0.7958108243297319,0.42702702702702705,0.11524560244231855,0.02666163666004042,0.3665968073557082,-0.2112401809832464,0.9834791860626725
LR,race_ethnicity,6.0,777,122,0.8297960205230884,0.5263157894736842,0.10941656784552459,0.03435631102974982,0.3466364942159865,0.5505091431938767,1.1644812573021013
LR,race_ethnicity,7.0,262,50,0.8406603773584906,0.5306122448979592,0.12031684706382435,0.05102843476567096,0.3727305864243443,0.3594072231755499,1.1163925558619738
Random Forest,race_ethnicity,1.0,705,137,0.8213606456255784,0.4936708860759494,0.12224977371888647,0.031165154489111693,0.38569202475359704,0.04685360227021757,1.1097058123385497
Random Forest,race_ethnicity,2.0,494,79,0.8063596156779015,0.44936708860759494,0.11506356020000608,0.03728293932087943,0.36256860589582307,-0.26587156928092687,1.040039401523455
Random Forest,race_ethnicity,3.0,1630,241,0.8436320944946811,0.43636363636363634,0.10004552237977504,0.05030286495759551,0.3266860952249069,-0.2936928148058021,1.1790199185459203
Random Forest,race_ethnicity,4.0,1216,196,0.8002225890356142,0.423500611995104,0.11676452648945784,0.05158568070109422,0.37108299328934,-0.33432548798133443,1.0385649166888151
Random Forest,race_ethnicity,6.0,777,122,0.8363283694155925,0.49732620320855614,0.10586864809198632,0.037816942090555465,0.3374659199629164,0.28771465070238844,1.0987235830679558
Random Forest,race_ethnicity,7.0,262,50,0.8604716981132075,0.5308641975308642,0.11100582234367047,0.04061667592553238,0.35225070631067956,0.5597662243774946,1.4364072840137296
RuleFit,race_ethnicity,1.0,705,137,0.8107394366197183,0.5170731707317073,0.12372965449349813,0.026575725193144266,0.39067645878979723,0.2079158325266061,1.060933687250019
RuleFit,race_ethnicity,2.0,494,79,0.8073051700472778,0.4482758620689655,0.11297025454162797,0.04389766930558507,0.35897528461315514,-0.26805014601945215,0.9795483173354805
RuleFit,race_ethnicity,3.0,1630,241,0.8385297640919017,0.43803418803418803,0.09950514623331959,0.05064218572549294,0.32679614143242186,-0.27519980045336834,1.1874337832491504
RuleFit,race_ethnicity,4.0,1216,196,0.7984018607442978,0.42934782608695654,0.11612465400814315,0.032356686465669436,0.36625434600230733,-0.24670812617729568,1.0156115921600846
RuleFit,race_ethnicity,6.0,777,122,0.841746965336003,0.5286624203821656,0.10519357369083168,0.037045358037534476,0.3357144778149679,0.7378039039236014,1.2670402489018318
RuleFit,race_ethnicity,7.0,262,50,0.8568867924528302,0.6074074074074074,0.12046782762274881,0.058625982922173296,0.36949564018107334,0.4339451125316367,1.1656364710514144
XGBoost,race_ethnicity,1.0,705,137,0.8112213426544669,0.4957983193277311,0.12282923768026889,0.03027572188278569,0.3899832126912027,0.027800281468209627,1.1004993770225924
XGBoost,race_ethnicity,2.0,494,79,0.8079457068781456,0.4472843450479233,0.11371895236538833,0.046341912041014365,0.36008727379730965,-0.24250468672558048,1.0507563453382645
XGBoost,race_ethnicity,3.0,1630,241,0.8464700417327611,0.44421272158498437,0.09651158020391912,0.0340712559705146,0.3168286562012241,-0.06586490875271563,1.2279691581538537
XGBoost,race_ethnicity,4.0,1216,196,0.8063800520208083,0.41183431952662725,0.11507362817351252,0.053440264371013305,0.3667623317105053,-0.3222630871673155,1.1162955511789023
XGBoost,race_ethnicity,6.0,777,122,0.831109998748592,0.4897959183673469,0.1025598412100461,0.01861879451212755,0.3331693536911224,0.2754256665824482,1.1937928386544958
XGBoost,race_ethnicity,7.0,262,50,0.8428301886792453,0.49411764705882355,0.1153782734490596,0.03689683459120565,0.36557258457941444,0.2665541257270387,1.2009108901386931
