dataset,method,repeat,n,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_ckd,Random Forest,0,1876,0.7080864748362811,0.5756410256410256,0.20456990031034192,0.028511774559807662,0.5962594654116605,-0.028000610470123956,1.0274576247723042
nhanes_ckd,Random Forest,1,1876,0.7144109285780463,0.5789849892780558,0.20180228675158024,0.02795598400460063,0.5902467439729293,0.004909639120763228,1.0418096250386628
nhanes_ckd,Random Forest,2,1876,0.716736884194717,0.5829707893101305,0.20146737233142734,0.03562186231380139,0.5900684986706147,0.0643047984572606,1.139135119679093
nhanes_ckd,Random Forest,3,1876,0.7088349741804298,0.5904010519395135,0.20378535431890846,0.03404469006364365,0.5955339443362896,0.0387620600727931,1.0309785517553842
nhanes_ckd,Random Forest,4,1876,0.7115498081208521,0.5797909407665506,0.2023066302540831,0.024124197413742613,0.591568504596633,0.002613455867757835,1.0202065095095545
nhanes_ckd,Random Forest,5,1876,0.7101527718856819,0.5806869734283863,0.20245313703487589,0.0338739819408643,0.5913855314534143,0.06777544599795236,1.1469933200850533
nhanes_ckd,Random Forest,6,1876,0.7185666847086705,0.5850991114149009,0.20006142748222358,0.029327808313553208,0.5870231329959257,-0.03182408980007704,0.9670944117224428
nhanes_ckd,Random Forest,7,1876,0.7096956265207703,0.572987721691678,0.2027513250454899,0.02507309467495773,0.5930473582500058,-0.07217277867372232,0.909670356083263
nhanes_ckd,Random Forest,8,1876,0.7159798514704233,0.5710491367861886,0.2005570822313478,0.024302804523644528,0.5870526235005283,0.01023943838557422,0.9753900078299828
nhanes_ckd,Random Forest,9,1876,0.707385518610083,0.5754783841247342,0.2043966603456838,0.035874895964996434,0.5962539654601029,-0.03382409120725622,0.9389574979708415
nhanes_ckd,RuleFit,0,1876,0.7012646469374918,0.570694087403599,0.2059807176046213,0.014438035277221626,0.5996180367371977,-0.07256444351007366,0.9279541822242677
nhanes_ckd,RuleFit,1,1876,0.7121544590568422,0.5637010676156584,0.20254143332197136,0.017554728365832224,0.5914011332723709,-0.04112489828131712,0.9819415833805623
nhanes_ckd,RuleFit,2,1876,0.7124049747168137,0.5826575171553338,0.20201795395002708,0.027889049583917323,0.5906195263357655,0.054238502896869475,1.0921332077485844
nhanes_ckd,RuleFit,3,1876,0.7112273682568011,0.5674547983310153,0.20273558122029214,0.019875514369827967,0.5921785196870687,0.01133174004198632,0.9914778845425655
nhanes_ckd,RuleFit,4,1876,0.7180619962258079,0.5656414103525882,0.20036710946273864,0.016472185075784417,0.5875045737332333,-0.022689299011049165,0.9709844050701822
nhanes_ckd,RuleFit,5,1876,0.7147754258156693,0.5588447653429602,0.20085827482765337,0.028747742228503327,0.5880571700662116,0.09803823596608151,1.1635430923680696
nhanes_ckd,RuleFit,6,1876,0.7231509384280052,0.5764075067024129,0.19885127213637865,0.020887699017543216,0.5833297768215452,-0.06350234206262814,0.9577709271244643
nhanes_ckd,RuleFit,7,1876,0.7105105643246196,0.5794392523364486,0.20140319943347573,0.0247074547639842,0.5892341727982854,-0.06840809082175309,0.9387369629561781
nhanes_ckd,RuleFit,8,1876,0.7182344924101679,0.546242774566474,0.20075256196888744,0.023697705275645128,0.5879207810142988,0.0108986348920575,1.0028346944364284
nhanes_ckd,RuleFit,9,1876,0.7072032699912715,0.5433614735226401,0.2046203504088653,0.024436833636452316,0.5959196005779317,0.011414477851579126,0.9811730084849096
nhanes_ckd,XGBoost,0,1876,0.6873223228348376,0.5669781931464174,0.20862245638203664,0.030988633483888597,0.6049432982470752,0.015268825016925792,1.0990225270591751
nhanes_ckd,XGBoost,1,1876,0.6924362556503167,0.5382963493199714,0.20663249467518702,0.025544183422215486,0.6012227644043171,-0.03208730367452697,0.9763649725992988
nhanes_ckd,XGBoost,2,1876,0.6899554801367291,0.5414667580534612,0.2081685423863402,0.016074633869492008,0.6043411898097218,0.020096763595611557,1.0320192116020226
nhanes_ckd,XGBoost,3,1876,0.700284527275121,0.5327102803738317,0.20564619759079214,0.027679766695830554,0.5983957560893611,0.03845652824859845,1.0067538276172734
nhanes_ckd,XGBoost,4,1876,0.6858180098207015,0.5583277140930546,0.20912665832373978,0.019427798381590953,0.6075703534570058,-0.03307364369848877,0.9478778901496044
nhanes_ckd,XGBoost,5,1876,0.6896775357548627,0.504227517294389,0.20803764610501774,0.01563963931185916,0.6032821298731964,0.05176458174014334,1.126654810359402
nhanes_ckd,XGBoost,6,1876,0.6995445613111173,0.5432624113475177,0.20576672103419766,0.023245182618977477,0.5995319609336027,-0.05399818691476832,0.931402048459636
nhanes_ckd,XGBoost,7,1876,0.6927410192269245,0.5568942436412316,0.20716545302228806,0.019566489015211377,0.6018919105886016,-0.05401997788603368,0.9215166852994655
nhanes_ckd,XGBoost,8,1876,0.6926105804161364,0.5640677966101695,0.20671679557504813,0.016413181322223153,0.6007669210863943,-0.004203341221066763,0.9446682504652381
nhanes_ckd,XGBoost,9,1876,0.6807150484939803,0.5540092776673293,0.21175509859463545,0.03542677980039544,0.6138058044702273,-0.07813727256423277,0.8440266762538402
nhanes_dm,BRL,0,13731,0.5584171649564632,0.27421459399779186,0.13184941520500837,0.0017803111011204405,0.4321543997611955,0.3151671074943492,1.1930912188872018
nhanes_dm,BRL,1,13731,0.5271564142382033,0.2503391293624368,0.13262657169108857,8.825723213631842e-05,0.4352434533254241,-0.6768805416240451,0.5954045025869329
nhanes_dm,BRL,2,13731,0.5586340377171966,0.28415691180412833,0.13201614716644938,0.0038204304351347235,0.4328049668682124,-0.4295058742037437,0.7439492703844554
nhanes_dm,BRL,3,13731,0.5736232166596646,0.28838245373543525,0.13147039547621048,0.0030919076432585385,0.4307129346105019,-0.08031028294684446,0.9516352562224499
nhanes_dm,BRL,4,13731,0.5258243043286148,0.277870549729477,0.13234692510366616,0.0013252981753708363,0.4340228400109991,-0.3249618747709549,0.8080360758509542
nhanes_dm,BRL,5,13731,0.5454657466929352,0.2809587217043941,0.13217201218876518,0.0005716529031103762,0.4333682703519353,-0.09226997146952684,0.9469129311497286
nhanes_dm,BRL,6,13731,0.5231387429348998,0.25690300394457366,0.13258205938730416,0.0003452029990253791,0.4350487355196724,-0.4388152912623739,0.7393849812971139
nhanes_dm,BRL,7,13731,0.5296547772515122,0.27277908965067993,0.13259332044022923,0.00025094223406935123,0.4350917754759073,4.121579875540373,3.464100204013737
nhanes_dm,BRL,8,13731,0.5486332320128093,0.27019442774103025,0.1321594024184551,0.0026815235195075697,0.43349435281166765,-0.18636487786163736,0.8872098827814442
nhanes_dm,BRL,9,13731,0.5755813860545359,0.286425902864259,0.13085382001585108,0.0077546017551711885,0.42912656937162397,0.0960514734093012,1.0595968430270055
nhanes_dm,EBM,0,13731,0.8332538219802551,0.49181777974347635,0.10295606160674939,0.011017867821839453,0.3328292839665569,0.003923947313351322,1.0292492920509893
nhanes_dm,EBM,1,13731,0.8328751888769311,0.4832809374106888,0.10314565394900968,0.009606873272982498,0.33309045495314576,0.03285617063890313,1.0223838193562043
nhanes_dm,EBM,2,13731,0.8335353189470339,0.48581757508342605,0.10320291443472768,0.009180628774209018,0.3323377382795909,0.004065760849810471,0.9962719737045507
nhanes_dm,EBM,3,13731,0.8325138408503634,0.49543481514743304,0.10310694533122129,0.008578392846027965,0.3326178217721871,0.011517177903765129,1.0053890397922953
nhanes_dm,EBM,4,13731,0.8327386267791839,0.4901092412164157,0.1032321141771628,0.01522847959516275,0.3331451263601725,0.1311516407831611,1.1153043562698752
