dataset,method,repeats,auc_mean,auc_sd,auc_ci_low,auc_ci_high,f1_mean,f1_sd,f1_ci_low,f1_ci_high,brier_mean,brier_sd,brier_ci_low,brier_ci_high,ece_mean,ece_sd,ece_ci_low,ece_ci_high,log_loss_mean,log_loss_sd,log_loss_ci_low,log_loss_ci_high,calibration_intercept_mean,calibration_intercept_sd,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope_mean,calibration_slope_sd,calibration_slope_ci_low,calibration_slope_ci_high
nhanes_dm,Random Forest,10,0.8245934250205742,0.0013949281077165101,0.8235955535653866,0.8255912964757618,0.4715568643879669,0.004806341066055175,0.46811861511391395,0.47499511366201985,0.10645216369435088,0.00027909427060766596,0.10625251168045484,0.10665181570824693,0.010497817991414162,0.0024458739106582683,0.008748145198291294,0.01224749078453703,0.3405917953977278,0.0009854806155553245,0.3398868250336901,0.34129676576176554,0.01318010914324921,0.049407314427024916,-0.022163754437587117,0.04852397272408554,1.0163015511780107,0.039730473690529955,0.9878800824460043,1.044723019910017
nhanes_dm,RuleFit,10,0.8100074100025003,0.0014694541549671698,0.8089562258247373,0.8110585941802634,0.4573132359022818,0.005092421879033564,0.453670336742999,0.4609561350615646,0.10819580815409857,0.00040405853347260116,0.10790676209176257,0.10848485421643457,0.008255672620569015,0.0014858088595394337,0.007192788991945084,0.009318556249192946,0.34838013006626234,0.0010220655026297514,0.34764898845060177,0.3491112716819229,0.0015156612612347545,0.046019006050569376,-0.03140435252294584,0.03443567504541536,1.007595385866081,0.03695288077637493,0.9811608874071907,1.0340298843249716
nhanes_dm,XGBoost,10,0.8287855477095295,0.0009681502060420389,0.8280929747736204,0.8294781206454386,0.47829751418252453,0.004198314816315877,0.475294220685234,0.48130080767981503,0.10442942000963502,0.0002629760463489497,0.10424129827877444,0.1046175417404956,0.0102586705064818,0.0035087180648398332,0.007748684807694599,0.012768656205269001,0.3362256957484199,0.000638518196587817,0.33576892734690283,0.3366824641499369,0.018031059875111312,0.05590892211637132,-0.02196377366621094,0.05802589341643356,1.0188754763545937,0.04560657760394418,0.9862504961079253,1.0515004566012622
pidd,BRL,10,0.7610649253731344,0.010942450761036402,0.7532371676529831,0.7688926830932857,0.6190815469522601,0.014120664651882553,0.6089802319766401,0.6291828619278802,0.1833489175254846,0.0023253320922994253,0.181685475154583,0.1850123598963862,0.04108270178024033,0.01307785833638614,0.031727365504000474,0.050438038056480186,0.5476897598409209,0.0068574716163639264,0.5427842201626571,0.5525952995191847,-0.024596732884146412,0.08510193568000142,-0.08547499028430675,0.036281524516013915,0.9834329177765022,0.08298986651425884,0.9240655436399435,1.0428002919130608
pidd,EBM,10,0.8339417910447761,0.005107384758834537,0.8302881880860945,0.8375953940034576,0.6720168524393753,0.019720192701605826,0.6579098764032092,0.6861238284755413,0.15743503643952633,0.0026145977482112327,0.15556466588400808,0.15930540699504459,0.04135961839459135,0.007232552426530335,0.03618576206847799,0.046533474720704716,0.48184803524687175,0.007091183776682798,0.4767753079607146,0.4869207625330289,-0.00919516220815645,0.0548946005869399,-0.04846439383852521,0.03007406942221231,0.9461893421547829,0.11946653932911272,0.8607281282132861,1.0316505560962796
pidd,EBRO-MH,10,0.756488432835821,0.02091244631581534,0.7415285699430617,0.7714482957285803,0.5940847174857027,0.01674866076383914,0.5821034473425305,0.6060659876288749,0.18449055705070896,0.005343699258246738,0.18066790488289183,0.1883132092185261,0.044671222289425994,0.01450898038383025,0.03429212297326012,0.05505032160559187,0.5489551657698397,0.013313037602728056,0.539431592381281,0.5584787391583984,-0.014407356559303064,0.059040200783867576,-0.05664217191993738,0.02782745880133125,0.9847902829368147,0.0921351174579022,0.918880790380886,1.0506997754927434
pidd,LR,10,0.8248037313432836,0.004585835637357597,0.8215232221504534,0.8280842405361137,0.6539296955393841,0.020224533585025174,0.6394619357693007,0.6683974553094675,0.16122531647153582,0.0019717146132400857,0.15981483680635125,0.16263579613672038,0.04015216108446538,0.004854170279081691,0.036679696852566744,0.04362462531636401,0.4924001674734294,0.006040395785108968,0.48807912863375563,0.4967212063131032,-0.017920007559104063,0.058956347254742775,-0.060094837718588937,0.02425482260038081,0.9644321670168032,0.10049567043603796,0.8925418951502315,1.036322438883375
pidd,Random Forest,10,0.8285044776119405,0.005392613943298457,0.8246468339863682,0.8323621212375127,0.6764550398119009,0.015786057969237183,0.6651623742255538,0.687747705398248,0.1600857329296522,0.0029139021354755556,0.15800125291371708,0.1621702129455873,0.04068543291187071,0.007514716056923232,0.035309728884142036,0.04606113693959939,0.48600578019764606,0.008094661454065915,0.4802152082249855,0.49179635217030665,-0.031050800750029944,0.0660340224917592,-0.07828869476853209,0.016187093268472195,0.9311378307592479,0.11916724778118057,0.8458907170934631,1.0163849444250328
pidd,RuleFit,10,0.8202858208955224,0.004505267070381164,0.817062946983483,0.8235086948075617,0.664828917145629,0.010100917099736597,0.6576031563416952,0.6720546779495628,0.16319540041813893,0.0021673424684161076,0.16164497701575395,0.1647458238205239,0.03668826820453312,0.0058564846163529465,0.03249879148951408,0.040877744919552164,0.4949719739387636,0.00744058670732284,0.4896492988532066,0.5002946490243205,-0.031448068894766715,0.06873043665691797,-0.08061486140767231,0.01771872361813888,0.9304627000689063,0.08842480834406805,0.8672074027608447,0.9937179973769679
pidd,XGBoost,10,0.7984410447761194,0.009826137945857311,0.79141184913753,0.8054702404147088,0.6354924645829779,0.02029064821488599,0.6209774092558379,0.650007519910118,0.17226813322237855,0.0041855144383164495,0.16927399656388895,0.17526226988086815,0.04077722330952135,0.012472297803461,0.03185507894249277,0.04969936767654992,0.5163097513004409,0.010967195331360998,0.5084642923810225,0.5241552102198592,-0.010330587514144533,0.0636721303094773,-0.05587888564889319,0.03521771062060412,0.9695795391153783,0.12496732654392283,0.880183299051492,1.0589757791792647
temporal,BRL,10,0.5305361907404641,0.03392731081516332,0.5062660546478238,0.5548063268331044,0.28385789303149767,0.022429633214501525,0.267812700013115,0.2999030860498803,0.13556068260318138,0.0007354629039506478,0.13503456413575504,0.13608680107060772,0.007777644558025695,0.0022065978384924324,0.006199139555560193,0.009356149560491198,0.4419812747876467,0.002764084895984197,0.4400039675686152,0.4439585820066782,0.5800876686454246,1.3672152979044707,-0.4708470415819437,1.6310223788727929,1.3095807370596813,0.8055022142131282,0.6904169247624862,1.9287445493568764
temporal,EBM,10,0.8297820657858226,0.002039976891209315,0.8283227542286754,0.8312413773429698,0.46814288819227434,0.016323658111004048,0.45646564663186356,0.4798201297526851,0.10815843556474572,0.0008906325216048639,0.10752131543973362,0.10879555568975782,0.03160087973499148,0.004107214143158812,0.02866275573338244,0.03453900373660052,0.3456903463121895,0.002018295902798141,0.34424654439983055,0.3471341482245484,-0.22387032971199594,0.14217877136007967,-0.32557889568685305,-0.1221617637371388,1.0373216617149628,0.10663349396089968,0.961040655402252,1.1136026680276736
temporal,EBRO-MH,10,0.747629960084527,0.015745817585756487,0.7363660807344017,0.7588938394346523,0.3998742442040656,0.019605380550031585,0.38584939983341754,0.41389908857471364,0.12239213382842898,0.0023255645307038203,0.12072852518110957,0.12405574247574838,0.02660233699652036,0.0077311841402387714,0.02107178103046968,0.03213289296257104,0.39379423865271357,0.007678796362807294,0.38830115864503695,0.3992873186603902,-0.10179149837135607,0.2128429810477556,-0.25405019475125135,0.05046719800853919,0.9891708735805398,0.13188167342314067,0.8948284077263282,1.0835133394347514
temporal,LR,10,0.8091610350985791,0.002841448717307078,0.807128385135692,0.8111936850614662,0.45727511659182324,0.013290090003642504,0.44776795892674587,0.4667822742569006,0.11220240418528715,0.0008503610520389255,0.11159409253414262,0.11281071583643168,0.02032705441412439,0.00492739021933397,0.01680221179231153,0.023851897035937254,0.3585022801397314,0.0024749886307890087,0.3567317799304976,0.3602727803489652,-0.1427154729480355,0.15299570038994367,-0.2521620038058004,-0.03326894209027058,1.0019587219059376,0.11408016355385732,0.9203506890734229,1.0835667547384524
temporal,Random Forest,10,0.8181412908137492,0.0015195133644010674,0.8170542964348102,0.8192282851926882,0.4548180435772925,0.026988691244899932,0.4355114969121433,0.4741245902424417,0.11143218940727546,0.0005638943624217192,0.11102880368087917,0.11183557513367176,0.030715903717444114,0.0040950402864853245,0.02778648836827875,0.03364531906660948,0.3558612717065933,0.0011215257848037979,0.35505898049120976,0.3566635629219769,-0.22121678389360752,0.09927860411010847,-0.29223641895890123,-0.1501971488283138,1.0251551278955127,0.07115645847752601,0.9742528639191996,1.0760573918718257
temporal,RuleFit,10,0.8103645186307784,0.0032297077276765666,0.8080541249035181,0.8126749123580387,0.46239464356934973,0.013185074251421963,0.45296260964785906,0.4718266774908404,0.11187106801204735,0.000993074732725685,0.11116066514384706,0.11258147088024764,0.020609803994099996,0.0017694272124657252,0.019344032018050218,0.021875575970149774,0.3567506491039094,0.002254840194074685,0.35513763359921785,0.358363664608601,-0.17071154329091526,0.0750654596542319,-0.22441013825443235,-0.11701294832739816,0.9876688335155027,0.06392543902691215,0.9419393292403945,1.033398337790611
temporal,XGBoost,10,0.8131903491358763,0.003403645587809351,0.8107555277591603,0.8156251705125923,0.44542867063942565,0.026613787494073303,0.4263903139615046,0.4644670273173467,0.11124599354597568,0.0009614350936787172,0.11055822431207006,0.1119337627798813,0.02726406825955261,0.007147719206443963,0.022150897963283765,0.03237723855582146,0.35615048496174256,0.0020566848386105977,0.35467922125903734,0.3576217486644478,-0.2310772471912868,0.10095957510111643,-0.3032993764637344,-0.15885511791883922,1.0029132026072278,0.07270616104498454,0.9509023481970829,1.0549240570173728
