dataset,repeat,fold,iteration,validation_auc,validation_nll,ess_before_resampling,resampled,mh_proposals,mh_acceptances,acceptance_rate,unique_rule_count
nhanes_dm,2,4,2,0.7748268122367545,0.5045806562120179,18.912983839348332,0,0,0,,20
nhanes_dm,2,4,3,0.7752175238306362,0.5046943547074829,18.898124576956636,0,0,0,,20
nhanes_dm,2,4,4,0.775333906007537,0.5034980111494287,18.935562496182392,0,0,0,,20
nhanes_dm,2,5,1,0.7490273775216139,0.4557686005077621,19.2555072475752,0,0,0,,20
nhanes_dm,2,5,2,0.751734648636666,0.454350476675606,19.27727692322719,0,0,0,,20
nhanes_dm,2,5,3,0.7517097095987585,0.4541418741381903,19.28731137775032,0,0,0,,20
nhanes_dm,2,5,4,0.7527211261361118,0.4527488468547403,19.29454940496254,0,0,0,,20
nhanes_dm,2,5,5,0.7529372644646418,0.452623913680329,19.30460665064651,0,0,0,,20
nhanes_dm,2,5,6,0.7535967634670804,0.4518259888067227,19.32951954810092,0,0,0,,20
nhanes_dm,2,5,7,0.7532337619153182,0.4526924952980902,19.306942081434613,0,0,0,,20
nhanes_dm,2,5,8,0.7535441143870538,0.4517141120475918,19.322880613243424,0,0,0,,20
nhanes_dm,3,1,1,0.7181675658997473,0.4156477707663012,19.657800977641987,0,0,0,,20
nhanes_dm,3,1,2,0.7181286500940929,0.4147431792926029,19.64269504708052,0,0,0,,20
nhanes_dm,3,1,3,0.7207304496721343,0.4141226729135092,19.616102375364736,0,0,0,,20
nhanes_dm,3,1,4,0.72257061133951,0.4130195243205357,19.6025589616041,0,0,0,,20
nhanes_dm,3,1,5,0.7231654672259424,0.4123339343537166,19.57186285762426,0,0,0,,20
nhanes_dm,3,1,6,0.7234573357683508,0.412366874859544,19.551336278761006,0,0,0,,20
nhanes_dm,3,1,7,0.7241800578733624,0.4120470254788883,19.535956134570142,0,0,0,,20
nhanes_dm,3,1,8,0.7247082009501017,0.4119868746224694,19.528244255315315,0,0,0,,20
nhanes_dm,3,1,9,0.7241272435656885,0.4126187412084625,19.546963126850645,0,0,0,,20
nhanes_dm,3,1,10,0.7251918688203787,0.4118459926440118,19.49378025398572,0,0,0,,20
nhanes_dm,3,1,11,0.7253975666502667,0.411652728505917,19.482272586219647,0,0,0,,20
nhanes_dm,3,1,12,0.726451073103341,0.4112065610635823,19.44063749322313,0,0,0,,20
nhanes_dm,3,1,13,0.7269486394756373,0.4106703982995187,19.41803572426059,0,0,0,,20
nhanes_dm,3,1,14,0.7275768517669167,0.4103502857431261,19.37006126865956,0,0,0,,20
nhanes_dm,3,1,15,0.7276213269733789,0.4102560359434084,19.331490522625053,0,0,0,,20
nhanes_dm,3,2,1,0.7559992883966966,0.4805576103931507,19.083970021900814,0,0,0,,20
nhanes_dm,3,2,2,0.7572028986715812,0.4776587480580457,19.14098972881857,0,0,0,,20
nhanes_dm,3,2,3,0.7580284696915366,0.4762597671634403,19.170606326228253,0,0,0,,20
nhanes_dm,3,2,4,0.758548273667064,0.4738589910836466,19.19962466129596,0,0,0,,20
nhanes_dm,3,2,5,0.7593071318773261,0.4730460009056402,19.18846751513716,0,0,0,,20
nhanes_dm,3,2,6,0.7594544559987325,0.4727398640317582,19.225473071590997,0,0,0,,20
nhanes_dm,3,2,7,0.7599075471645665,0.4726657851256118,19.255915283364505,0,0,0,,20
nhanes_dm,3,2,8,0.7605552173586732,0.4713110625939432,19.244245367704377,0,0,0,,20
nhanes_dm,3,2,9,0.7612473627592419,0.4705440920737362,19.23685325387849,0,0,0,,20
