dataset,method,repeat,seed,fold,n_test,positive_test,threshold,training_time_seconds,rule_count,average_condition_length,initializer_mode,reviewed_rule_count,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,EBRO-MH,2,2024,2,2746,433,0.1251660968520494,5.278568122000024,20.0,1.9,hybrid,0,0.658625461669108,0.3650234741784037,0.1261539899550911,0.01102689254053,0.4133092907538573,0.2087072432671145,1.122141205199276
nhanes_dm,LR,2,2024,2,2746,433,0.1526973705714004,0.1853399740000441,,,not_applicable,0,0.8178460134454419,0.4715558601782042,0.1062887469580656,0.0138384016369337,0.3436361232671386,0.1067980378479979,1.090548713225006
nhanes_dm,Random Forest,2,2024,2,2746,433,0.1168792490094556,8.122538106000093,,,not_applicable,0,0.8325460371092599,0.4484991171277221,0.1052668616032193,0.0203295408147381,0.3367099573885665,0.2352555070382102,1.1621818230536995
nhanes_dm,XGBoost,2,2024,2,2746,433,0.1610687261440587,0.8087337070001013,,,not_applicable,0,0.8409926222805331,0.5089349535382416,0.1012814864721633,0.0230379150533603,0.3284957500860305,0.2002922256317071,1.145549997660807
nhanes_dm,RuleFit,2,2024,2,2746,433,0.1643587607362686,10.312172626999882,27.0,1.851851851851852,not_applicable,0,0.8155380423332725,0.4824046920821114,0.1065330654446411,0.0156538250908327,0.3447825316958612,0.11204274322149,1.0658798613217295
nhanes_dm,BRL,2,2024,2,2746,433,0.1682223474798916,29.692323902,2.0,1.0,not_applicable,0,0.521662378223696,0.2625754527162978,0.1326850062564044,0.0003693417181182,0.4352990751166599,0.0114039113126331,1.0082230221177522
nhanes_dm,EBM,2,2024,2,2746,433,0.1472445840002382,22.683391647000008,,,not_applicable,0,0.8415417826143826,0.489159891598916,0.1009930306232693,0.0242660592893628,0.3280792485890665,0.1986569622948352,1.1562809504404978
nhanes_dm,EBRO-MH,2,2024,3,2746,433,0.157471901129089,10.143600330000028,20.0,1.8,hybrid,0,0.7543660742724374,0.4015325670498084,0.117215414104475,0.0152874040707741,0.3809307142442792,-0.1389386621654414,0.908086053552448
nhanes_dm,LR,2,2024,3,2746,433,0.1270895425013402,0.053024128999823,,,not_applicable,0,0.8135970101714478,0.4578155657292348,0.1086352644226834,0.0135211674893446,0.3477090125298828,-0.07559673687381,0.9309823256628958
nhanes_dm,Random Forest,2,2024,3,2746,433,0.1192782654011958,3.661143221999964,,,not_applicable,0,0.8348135700513916,0.469361147327249,0.1059298664289567,0.0198024640009881,0.3349665838397589,-0.1170865985986149,0.8917500455503581
nhanes_dm,XGBoost,2,2024,3,2746,433,0.1112180831579781,1.827610290000166,,,not_applicable,0,0.8322994141956948,0.4681130834976988,0.1051703163995503,0.0203488802224062,0.335477694144606,-0.1412194614961134,0.8548593188076562
nhanes_dm,RuleFit,2,2024,3,2746,433,0.1561700274286087,9.905656179999824,23.0,1.7826086956521738,not_applicable,0,0.8225707892632165,0.4687045123726346,0.1078832671359822,0.0145993656656234,0.3425238837793985,-0.129795728428213,0.9104744702185094
nhanes_dm,BRL,2,2024,3,2746,433,0.1926669339212468,29.070596433999757,2.0,1.0,not_applicable,0,0.5457805016130337,0.2814021421616358,0.1324606842437048,0.0011803067636507,0.4344977955054611,-0.676429109089644,0.5946249212421685
nhanes_dm,EBM,2,2024,3,2746,433,0.1392432483527113,23.941701071999887,,,not_applicable,0,0.8399297474162007,0.4887005649717514,0.1043021781538869,0.0210453299690185,0.3304848791445403,-0.1547766120563504,0.8510200691736399
nhanes_dm,EBRO-MH,2,2024,4,2746,432,0.1320875453289222,2.649818501000027,20.0,1.65,hybrid,0,0.7669319600499376,0.4094674556213017,0.1158144183372551,0.0238439347714843,0.3741898693733347,0.090036561390568,1.079643554572496
nhanes_dm,LR,2,2024,4,2746,432,0.135368001178882,0.0416046489999644,,,not_applicable,0,0.8147893058356541,0.4528795811518324,0.1069340067804111,0.0155808421661512,0.3466677492189509,-0.0256323109023796,0.9990604728952086
nhanes_dm,Random Forest,2,2024,4,2746,432,0.1478993225207617,3.914196661999995,,,not_applicable,0,0.8203632678702903,0.478494623655914,0.106185304106019,0.0147844696110111,0.3438125221122785,0.0038750039334087,0.9969637013869496
nhanes_dm,XGBoost,2,2024,4,2746,432,0.1513368326380724,0.7958347690000664,,,not_applicable,0,0.8282630485931048,0.4812760055478502,0.1043272932594937,0.0155631705534443,0.3368644161395709,0.1400157296782437,1.0935234913383467
nhanes_dm,RuleFit,2,2024,4,2746,432,0.1315075559391558,10.351777114000017,26.0,1.6923076923076923,not_applicable,0,0.8125170059861072,0.4460063897763578,0.1075275617765812,0.0168888820561324,0.3466419374276173,0.0178785116561308,1.026258538268095
nhanes_dm,BRL,2,2024,4,2746,432,0.1482843497781376,29.137884073999885,3.0,1.0,not_applicable,0,0.4966738291878741,0.2718691000629327,0.1326421635654967,4.563686565411951e-05,0.4354734112541451,-2.145565650664546,-0.2783066484507702
nhanes_dm,EBM,2,2024,4,2746,432,0.142022979322639,16.599872304999735,,,not_applicable,0,0.8339990676718205,0.4827586206896552,0.1025255485482825,0.0224848763345162,0.3318603837003822,0.0200228721619569,1.0184286377646812
nhanes_dm,EBRO-MH,2,2024,5,2746,432,0.125681168160187,3.776173641999776,20.0,1.85,hybrid,0,0.7580993509715419,0.4083898827884022,0.1137503267461409,0.0162474089623272,0.3737684436823013,0.1472504360079318,1.0897953367463702
nhanes_dm,LR,2,2024,5,2746,432,0.1607239380972528,0.1234729389998392,,,not_applicable,0,0.8155620778514037,0.4763292061179898,0.1076802981347541,0.0164409090599033,0.3496457946936491,0.0021229756207029,0.9947790323360186
nhanes_dm,Random Forest,2,2024,5,2746,432,0.1666691387701513,3.737756805000117,,,not_applicable,0,0.8303272752008707,0.4702467343976778,0.1046808192958695,0.0123959439565176,0.3343179608252775,0.0832914598949334,1.047751500917572
nhanes_dm,XGBoost,2,2024,5,2746,432,0.1090089391285215,2.071134067999992,,,not_applicable,0,0.8347303250744261,0.456768038163387,0.1044231284178657,0.0205560584998625,0.3330509254594652,0.0587607580622673,1.040267375266464
nhanes_dm,RuleFit,2,2024,5,2746,432,0.1365177655449876,10.347851052999886,26.0,2.1153846153846154,not_applicable,0,0.809919091520215,0.4507978723404255,0.1090954977137973,0.0176651170790285,0.3493652182884453,0.034209227761427,1.0016577651811616
nhanes_dm,BRL,2,2024,5,2746,432,0.1685221197390775,37.53886398099985,2.0,1.0,not_applicable,0,0.5723044511668107,0.2959805115712545,0.1319253534446839,0.0004665025939794,0.432782504069764,5.127359885952848,4.076466599828081
nhanes_dm,EBM,2,2024,5,2746,432,0.1535046781250488,15.267804663000334,,,not_applicable,0,0.8357521847690388,0.4894810659186536,0.1028589536937923,0.0114477234326496,0.3299672640903063,0.0385127465370065,1.0124975016957078
nhanes_dm,EBRO-MH,3,3407,1,2747,433,0.1349820546271873,5.158836949000033,20.0,1.95,hybrid,0,0.747509885604444,0.4227005870841487,0.116066425229771,0.0216523013489482,0.3809390470080848,0.2333030883831536,1.1785252108563926
nhanes_dm,LR,3,3407,1,2747,433,0.1670989044520597,0.1928404249999857,,,not_applicable,0,0.8218405488431697,0.4787535410764872,0.1077551022730972,0.0264139113280879,0.3447308798522525,0.184259595968967,1.178930643768229
nhanes_dm,Random Forest,3,3407,1,2747,433,0.1451476478285052,6.341096623000112,,,not_applicable,0,0.8218235821318574,0.4663618549967341,0.1067493930203457,0.0146064661697538,0.3440232514632935,0.0360677786522085,1.0304002806399406
nhanes_dm,XGBoost,3,3407,1,2747,433,0.1397280600645538,1.1302430910000112,,,not_applicable,0,0.8275638197855808,0.4669718770438195,0.1044811289370224,0.011499028317831,0.336901626948781,0.1347964069002742,1.104194834625005
nhanes_dm,RuleFit,3,3407,1,2747,433,0.1676454568660939,13.604013205,25.0,2.04,not_applicable,0,0.8103765412261144,0.4603616133518776,0.1083420678866588,0.0144054630269349,0.3488989149843189,0.1166801723384427,1.1169465134448744
nhanes_dm,BRL,3,3407,1,2747,433,0.1836589960255916,26.600401036999983,3.0,1.0,not_applicable,0,0.5453754733213436,0.2857142857142857,0.1322520410104592,0.0122456534096155,0.4337621233955387,-0.6078182728529703,0.6337854291569122
nhanes_dm,EBM,3,3407,1,2747,433,0.1926889135162207,24.42710849900004,,,not_applicable,0,0.832806034560193,0.5113369820172009,0.1038488725419255,0.0265273604438523,0.3342539190591262,0.1328083542311175,1.1180782376783591
nhanes_dm,EBRO-MH,3,3407,2,2746,433,0.1385761688378066,6.767373889999817,20.0,1.8,hybrid,0,0.7635140869610364,0.4222520107238606,0.1150265686051933,0.0177638917185645,0.3748918672381961,0.2285004691147287,1.1159005631052243
nhanes_dm,LR,3,3407,2,2746,433,0.1483522186726749,0.3280400619999,,,not_applicable,0,0.8073710296955954,0.4676833696441539,0.1089210444958998,0.014190443056944,0.3541822420309763,0.024956473212585,0.9563303854316304
nhanes_dm,Random Forest,3,3407,2,2746,433,0.1423733849673889,4.781436807999853,,,not_applicable,0,0.8229012839368604,0.4745308310991957,0.1070270641638107,0.015666807412632,0.3426584062501909,0.1418756891794199,1.0427177971941983
