dataset,method,repeat,fold,status,message
nhanes_dm,BRL,5,4,succeeded,
nhanes_dm,EBM,5,4,succeeded,
nhanes_dm,EBRO-MH,5,5,succeeded,
nhanes_dm,LR,5,5,succeeded,
nhanes_dm,Random Forest,5,5,succeeded,
nhanes_dm,XGBoost,5,5,succeeded,
nhanes_dm,RuleFit,5,5,succeeded,
nhanes_dm,BRL,5,5,succeeded,
nhanes_dm,EBM,5,5,succeeded,
nhanes_dm,EBRO-MH,6,1,succeeded,
nhanes_dm,LR,6,1,succeeded,
nhanes_dm,Random Forest,6,1,succeeded,
nhanes_dm,XGBoost,6,1,succeeded,
nhanes_dm,RuleFit,6,1,succeeded,
nhanes_dm,BRL,6,1,succeeded,
nhanes_dm,EBM,6,1,succeeded,
nhanes_dm,EBRO-MH,6,2,succeeded,
nhanes_dm,LR,6,2,succeeded,
nhanes_dm,Random Forest,6,2,succeeded,
nhanes_dm,XGBoost,6,2,succeeded,
nhanes_dm,RuleFit,6,2,succeeded,
nhanes_dm,BRL,6,2,succeeded,
nhanes_dm,EBM,6,2,succeeded,
nhanes_dm,EBRO-MH,6,3,succeeded,
nhanes_dm,LR,6,3,succeeded,
nhanes_dm,Random Forest,6,3,succeeded,
nhanes_dm,XGBoost,6,3,succeeded,
nhanes_dm,RuleFit,6,3,succeeded,
nhanes_dm,BRL,6,3,succeeded,
nhanes_dm,EBM,6,3,succeeded,
nhanes_dm,EBRO-MH,6,4,succeeded,
nhanes_dm,LR,6,4,succeeded,
nhanes_dm,Random Forest,6,4,succeeded,
nhanes_dm,XGBoost,6,4,succeeded,
nhanes_dm,RuleFit,6,4,succeeded,
nhanes_dm,BRL,6,4,succeeded,
nhanes_dm,EBM,6,4,succeeded,
nhanes_dm,EBRO-MH,6,5,succeeded,
nhanes_dm,LR,6,5,succeeded,
nhanes_dm,Random Forest,6,5,succeeded,
nhanes_dm,XGBoost,6,5,succeeded,
nhanes_dm,RuleFit,6,5,succeeded,
nhanes_dm,BRL,6,5,succeeded,
nhanes_dm,EBM,6,5,succeeded,
nhanes_dm,EBRO-MH,7,1,succeeded,
nhanes_dm,LR,7,1,succeeded,
nhanes_dm,Random Forest,7,1,succeeded,
nhanes_dm,XGBoost,7,1,succeeded,
nhanes_dm,RuleFit,7,1,succeeded,
nhanes_dm,BRL,7,1,succeeded,
nhanes_dm,EBM,7,1,succeeded,
nhanes_dm,EBRO-MH,7,2,succeeded,
nhanes_dm,LR,7,2,succeeded,
nhanes_dm,Random Forest,7,2,succeeded,
nhanes_dm,XGBoost,7,2,succeeded,
nhanes_dm,RuleFit,7,2,succeeded,
nhanes_dm,BRL,7,2,succeeded,
nhanes_dm,EBM,7,2,succeeded,
nhanes_dm,EBRO-MH,7,3,succeeded,
nhanes_dm,LR,7,3,succeeded,
nhanes_dm,Random Forest,7,3,succeeded,
nhanes_dm,XGBoost,7,3,succeeded,
nhanes_dm,RuleFit,7,3,succeeded,
nhanes_dm,BRL,7,3,succeeded,
nhanes_dm,EBM,7,3,succeeded,
nhanes_dm,EBRO-MH,7,4,succeeded,
nhanes_dm,LR,7,4,succeeded,
nhanes_dm,Random Forest,7,4,succeeded,
nhanes_dm,XGBoost,7,4,succeeded,
nhanes_dm,RuleFit,7,4,succeeded,
nhanes_dm,BRL,7,4,succeeded,
nhanes_dm,EBM,7,4,succeeded,
nhanes_dm,EBRO-MH,7,5,succeeded,
nhanes_dm,LR,7,5,succeeded,
nhanes_dm,Random Forest,7,5,succeeded,
nhanes_dm,XGBoost,7,5,succeeded,
nhanes_dm,RuleFit,7,5,succeeded,
nhanes_dm,BRL,7,5,succeeded,
nhanes_dm,EBM,7,5,succeeded,
nhanes_dm,EBRO-MH,8,1,succeeded,
nhanes_dm,LR,8,1,succeeded,
nhanes_dm,Random Forest,8,1,succeeded,
nhanes_dm,XGBoost,8,1,succeeded,
nhanes_dm,RuleFit,8,1,succeeded,
nhanes_dm,BRL,8,1,succeeded,
nhanes_dm,EBM,8,1,succeeded,
nhanes_dm,EBRO-MH,8,2,succeeded,
nhanes_dm,LR,8,2,succeeded,
nhanes_dm,Random Forest,8,2,succeeded,
nhanes_dm,XGBoost,8,2,succeeded,
nhanes_dm,RuleFit,8,2,succeeded,
nhanes_dm,BRL,8,2,succeeded,
nhanes_dm,EBM,8,2,succeeded,
nhanes_dm,EBRO-MH,8,3,succeeded,
nhanes_dm,LR,8,3,succeeded,
nhanes_dm,Random Forest,8,3,succeeded,
nhanes_dm,XGBoost,8,3,succeeded,
nhanes_dm,RuleFit,8,3,succeeded,
nhanes_dm,BRL,8,3,succeeded,
nhanes_dm,EBM,8,3,succeeded,
nhanes_dm,EBRO-MH,8,4,succeeded,
nhanes_dm,LR,8,4,succeeded,
nhanes_dm,Random Forest,8,4,succeeded,
nhanes_dm,XGBoost,8,4,succeeded,
nhanes_dm,RuleFit,8,4,succeeded,
nhanes_dm,BRL,8,4,succeeded,
nhanes_dm,EBM,8,4,succeeded,
nhanes_dm,EBRO-MH,8,5,succeeded,
nhanes_dm,LR,8,5,succeeded,
nhanes_dm,Random Forest,8,5,succeeded,
nhanes_dm,XGBoost,8,5,succeeded,
nhanes_dm,RuleFit,8,5,succeeded,
nhanes_dm,BRL,8,5,succeeded,
nhanes_dm,EBM,8,5,succeeded,
nhanes_dm,EBRO-MH,9,1,succeeded,
nhanes_dm,LR,9,1,succeeded,
nhanes_dm,Random Forest,9,1,succeeded,
nhanes_dm,XGBoost,9,1,succeeded,
nhanes_dm,RuleFit,9,1,succeeded,
nhanes_dm,BRL,9,1,succeeded,
nhanes_dm,EBM,9,1,succeeded,
nhanes_dm,EBRO-MH,9,2,succeeded,
nhanes_dm,LR,9,2,succeeded,
nhanes_dm,Random Forest,9,2,succeeded,
nhanes_dm,XGBoost,9,2,succeeded,
nhanes_dm,RuleFit,9,2,succeeded,
nhanes_dm,BRL,9,2,succeeded,
nhanes_dm,EBM,9,2,succeeded,
nhanes_dm,EBRO-MH,9,3,succeeded,
nhanes_dm,LR,9,3,succeeded,
nhanes_dm,Random Forest,9,3,succeeded,
nhanes_dm,XGBoost,9,3,succeeded,
nhanes_dm,RuleFit,9,3,succeeded,
nhanes_dm,BRL,9,3,succeeded,
nhanes_dm,EBM,9,3,succeeded,
nhanes_dm,EBRO-MH,9,4,succeeded,
nhanes_dm,LR,9,4,succeeded,
nhanes_dm,Random Forest,9,4,succeeded,
nhanes_dm,XGBoost,9,4,succeeded,
nhanes_dm,RuleFit,9,4,succeeded,
nhanes_dm,BRL,9,4,succeeded,
nhanes_dm,EBM,9,4,succeeded,
nhanes_dm,EBRO-MH,9,5,succeeded,
nhanes_dm,LR,9,5,succeeded,
nhanes_dm,Random Forest,9,5,succeeded,
nhanes_dm,XGBoost,9,5,succeeded,
nhanes_dm,RuleFit,9,5,succeeded,
nhanes_dm,BRL,9,5,succeeded,
nhanes_dm,EBM,9,5,succeeded,
