variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
Single best rule,4,3,2.9240683789994364,20,1.75,0.5723164281813107,0.28428428428428426,0.13056567347568415,0.0008998590102498515,0.4280749433514157,-0.019467559903611792,0.9922838497981304
Full EBRO-MH,4,4,3.351173277000271,20,1.8,0.742950518582541,0.401920438957476,0.11893172840409712,0.022823920090847685,0.3875726505674559,0.43194507332097754,1.2738568169654723
Uniform prior,4,4,1.5901627330003976,20,1.85,0.7634342288485547,0.3943019943019943,0.11535703239053642,0.02198711121342643,0.3776542734133646,0.548340185703783,1.3570352691954992
Without MH rejuvenation,4,4,3.2891339400002835,20,1.8,0.742950518582541,0.401920438957476,0.11893172840409712,0.022823920090847685,0.3875726505674559,0.43194507332097754,1.2738568169654723
Single best rule,4,4,3.059190326999669,20,1.8,0.5958437369954224,0.31719298245614036,0.1298052396899008,0.005677135477314944,0.42514432574230976,0.18262604086255504,1.121936285438776
Full EBRO-MH,4,5,3.071334350000143,20,1.8,0.703145007042479,0.3661417322834646,0.12318620649353508,0.01260148839259649,0.4002637249436514,-0.07964488039661258,0.9755120199077667
Uniform prior,4,5,1.8232970999997633,20,1.9,0.70744301994302,0.37097717963721477,0.12314909454423098,0.0373194334620204,0.4019419997717327,-0.15142500483304303,0.9174095184942734
Without MH rejuvenation,4,5,2.992776684999626,20,1.8,0.703145007042479,0.3661417322834646,0.12318620649353508,0.01260148839259649,0.4002637249436514,-0.07964488039661258,0.9755120199077667
Single best rule,4,5,2.989132862000588,20,1.8,0.5795600051218028,0.3056179775280899,0.1307429558126371,0.001575445539395648,0.42793158754255056,0.6752656900895684,1.4202563714909926
Full EBRO-MH,5,1,3.0920302430004085,20,1.85,0.7286468947924173,0.40971168437025796,0.1202679371310421,0.020870066701669486,0.3920983917296703,-0.17998599444103655,0.8611675848522332
Uniform prior,5,1,1.6523867830001109,20,1.95,0.6924509113120059,0.36817472698907955,0.12123599519054142,0.024151703690088046,0.4007455972723483,-0.2635322401316529,0.7990179882588707
Without MH rejuvenation,5,1,3.299407720999625,20,1.85,0.7286468947924173,0.40971168437025796,0.1202679371310421,0.020870066701669486,0.3920983917296703,-0.17998599444103655,0.8611675848522332
Single best rule,5,1,4.748436359000152,20,1.85,0.5556837484854715,0.2800763844684914,0.13187982464729217,0.000520721391596507,0.4323647864925698,0.03364707470983321,1.0226930474238582
Full EBRO-MH,5,2,3.2955077010001332,20,1.85,0.7494615732544939,0.4074534161490683,0.12034561175666429,0.03155068275965805,0.3887316954156293,-0.04249670386749959,0.9873753463157043
Uniform prior,5,2,1.7964417539997157,20,1.8,0.7426664629781065,0.3910681955340978,0.11731185362903843,0.015325104740985827,0.38480651133220545,0.14893194188472847,1.0971856554881434
Without MH rejuvenation,5,2,3.4869676930002242,20,1.85,0.7494615732544939,0.4074534161490683,0.12034561175666429,0.03155068275965805,0.3887316954156293,-0.04249670386749959,0.9873753463157043
Single best rule,5,2,3.229400371000338,20,1.85,0.672308041005303,0.3942307692307692,0.12386213468703612,0.0018892148173430814,0.40318688397040253,-0.0348662443091061,0.9806401917290272
Full EBRO-MH,5,3,10.690036744999816,20,1.9,0.7196811075865002,0.37103448275862067,0.12226097157055332,0.024417598452743175,0.3977045604377411,-0.22002186347032138,0.8518817422642769
Uniform prior,5,3,3.6027031889998398,20,1.9,0.7252191399350393,0.3963963963963964,0.12120196177147707,0.02371307357294069,0.39454477675750876,-0.232509482430334,0.8360374704916812
Without MH rejuvenation,5,3,3.72790133000035,20,1.9,0.7196811075865002,0.37103448275862067,0.12226097157055332,0.024417598452743175,0.3977045604377411,-0.22002186347032138,0.8518817422642769
Single best rule,5,3,3.868819411000004,20,1.9,0.5748205993036646,0.296140350877193,0.131558184525585,0.019501279578734786,0.4310411693964724,-0.5435871067631021,0.6749853581144307
Full EBRO-MH,5,4,3.6631401070007996,20,1.8,0.6984898684336887,0.34700665188470065,0.12307059989321051,0.010413835511259111,0.4020233795995648,0.06700085686852464,1.063605456706048
