dataset,variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,Outcome-blind random,2,4,1.598084048999226,20,1.65,0.5332311973814783,0.2479740680713128,0.1323094663349551,0.0005629512188660424,0.43423548967783365,2.505875369450425,2.5021893430342743
nhanes_dm,Quantile clinical,2,5,2.8706093979999423,20,1.85,0.7580993509715419,0.4083898827884022,0.11375032674614094,0.01624740896232725,0.3737684436823013,0.1472504360079318,1.0897953367463702
nhanes_dm,Outcome-blind random,2,5,1.7500445069999842,20,1.4,0.5618082565062903,0.2815934065934066,0.13172068245333496,0.005334581484984028,0.43197642083755894,-0.06690234361632533,0.959257219602968
nhanes_dm,Quantile clinical,3,1,3.0516941610003414,20,1.95,0.747509885604444,0.4227005870841487,0.11606642522977102,0.021652301348948216,0.3809390470080848,0.23330308838315367,1.1785252108563926
nhanes_dm,Outcome-blind random,3,1,1.9189240109999446,20,1.7,0.5377264806449745,0.13015873015873017,0.1324977026699492,0.005053249590347022,0.4348835844459179,-0.534022414585081,0.6766641053133936
nhanes_dm,Quantile clinical,3,2,3.062306910999723,20,1.8,0.7635140869610364,0.4222520107238606,0.11502656860519336,0.017763891718564583,0.3748918672381961,0.2285004691147287,1.1159005631052243
nhanes_dm,Outcome-blind random,3,2,2.910389953000049,20,1.8,0.45754591230009317,0.2655715263518138,0.13284498432211736,2.961709961871173e-05,0.43590443894127845,-0.440467593263239,0.7370330474760919
nhanes_dm,Quantile clinical,3,3,2.8270499769996604,20,1.55,0.7330212105690399,0.3821892393320965,0.12026366234309577,0.011553192222073953,0.389465934258919,0.14673475644204695,1.0932474288385454
nhanes_dm,Outcome-blind random,3,3,1.7670772070005114,20,1.55,0.5217702133437974,0.27255848496101004,0.13264379020668887,0.0007909123242838408,0.4351507303085459,-0.43952064875876967,0.7401029819493071
nhanes_dm,Quantile clinical,3,4,2.82833170899994,20,1.85,0.6817039597938475,0.3306122448979592,0.12428748035838787,0.012602907886303498,0.406812645366244,-0.23784820609227328,0.8841702095787967
nhanes_dm,Outcome-blind random,3,4,1.7377238109993414,20,1.8,0.5127629925733859,0.26956972524624156,0.13259270601264328,0.0006840421770254268,0.4352395573037647,-0.8893146070306605,0.4710207025932614
nhanes_dm,Quantile clinical,3,5,2.534148978000303,20,1.9,0.7250512180287461,0.38698328935795956,0.11896261959827767,0.013132807331811531,0.38963356880899463,-0.014697690384375114,0.9838599817697125
nhanes_dm,Outcome-blind random,3,5,1.9333943089995955,20,2.1,0.5752900020807323,0.2796915167095116,0.1311157185554855,0.007339339359011449,0.4298404600893341,0.5542127924665146,1.3389729249513724
nhanes_dm,Quantile clinical,4,1,4.917998515999898,20,1.85,0.7258274265890323,0.39436619718309857,0.11927417512102723,0.012971444637071798,0.3903868455179178,0.016806994452072493,1.0089165756112253
nhanes_dm,Outcome-blind random,4,1,1.8437480530001267,20,1.6,0.5566792952227729,0.2844294547498595,0.13223992558108613,0.00040359954029236205,0.43357162763035606,0.38985988686727874,1.2361450562603178
nhanes_dm,Quantile clinical,4,2,2.2342234630004896,20,1.85,0.756119892684086,0.42907058001397624,0.11626469513433822,0.019432576229008576,0.3799300275302952,0.38304780823112083,1.2432497901897686
