method,repeat,seed,n_test,positive_test,threshold,training_time_seconds,initializer_mode,reviewed_rule_count,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
EBRO-MH,4,7777,5084,825,0.1420029919712404,2.044741924999471,hybrid,0,0.7296868663151828,0.39139486467730744,0.1225528595968004,0.011870240913414497,0.39727158205756896,-0.08230632447536713,0.9482221795456015
LR,4,7777,5084,825,0.11514000802199928,0.024622546000500733,not_applicable,0,0.8068637537620867,0.4292022372681778,0.11246059579033624,0.01648287035143436,0.3597106469002276,-0.13779033994471965,1.005030389556674
Random Forest,4,7777,5084,825,0.09501803299444572,3.0999316099996577,not_applicable,0,0.8166805410289796,0.39692307692307693,0.11173488458679633,0.03140873700492206,0.35700880306407873,-0.22541546476814486,1.0417290185369847
XGBoost,4,7777,5084,825,0.10329465180056874,0.2958523620000051,not_applicable,0,0.8126643756181205,0.40277037826318596,0.1117483994249556,0.03255878803813156,0.35758188096794635,-0.21730026192825974,1.050865342698473
RuleFit,4,7777,5084,825,0.1317755202394054,4.636383528999431,not_applicable,0,0.8084243704952792,0.4457326892109501,0.11129026598216868,0.018171525800752195,0.357309259329683,-0.1425537040522325,1.0131906100209649
BRL,4,7777,5084,825,0.15972674572695753,20.40635844999997,not_applicable,0,0.5179574092652279,0.27952105697770435,0.13585866713775022,0.006345836547427652,0.44310224229091005,1.0717120893113266,1.6071112979308184
EBM,4,7777,5084,825,0.13865728155077708,15.792645833999813,not_applicable,0,0.827949653852448,0.44498040397949956,0.10810156961511384,0.03139240835942408,0.34739492363826274,-0.12503922386826355,1.1395990903719966
EBRO-MH,5,104729,5084,825,0.13130307387929616,7.462169475999872,hybrid,0,0.7389653283243328,0.39975772259236825,0.12449875706898485,0.03403041708319694,0.39970202914841024,-0.0416222449033501,0.9943588216690654
LR,5,104729,5084,825,0.16910936145323266,0.030732115000319027,not_applicable,0,0.8104272592086633,0.4643895348837209,0.1115153790481699,0.014967199045739418,0.35596152750364307,-0.08316265855851249,1.0131491329422335
Random Forest,5,104729,5084,825,0.14840458671688414,5.863065649999953,not_applicable,0,0.8188790938262644,0.4432831232708269,0.11172997409953773,0.03579092187752646,0.3561056972044565,-0.3002605230184185,1.0056889577169954
XGBoost,5,104729,5084,825,0.1676797372025595,0.48564298800010874,not_applicable,0,0.816608821248408,0.46101923725953425,0.11009955027191047,0.033012765048405966,0.3539437367690984,-0.2990366488780305,0.9888829371207712
RuleFit,5,104729,5084,825,0.22408545937784094,3.9497325359998285,not_applicable,0,0.8129626388325613,0.4829848298482985,0.1108838899139193,0.018402459968556984,0.35362259907481247,-0.15416693894592529,1.0040582474108117
BRL,5,104729,5084,825,0.19788560029178934,18.72888453500036,not_applicable,0,0.524386859911631,0.24330900243309003,0.13609686476892668,0.008995625261021739,0.44411645346485085,-0.8670326770097084,0.4503997000939548
EBM,5,104729,5084,825,0.18196817272121646,15.52312712299954,not_applicable,0,0.8288729037261556,0.48140350877192983,0.10839240057856157,0.03179658842750163,0.34666362641299253,-0.2574839259377515,1.0229909214068487
EBRO-MH,6,130363,5084,825,0.15933050589475492,2.3599317950001932,hybrid,0,0.7689974172340925,0.4264202600958248,0.11855408265035286,0.02174399010930278,0.38090183105219244,-0.15917734496099759,0.9651731695009503
LR,6,130363,5084,825,0.15043038565926764,0.033373727000252984,not_applicable,0,0.8113408326040399,0.45853000674308836,0.11091711386579449,0.01879060709509845,0.35588490386516414,-0.15716449623010198,1.0066524482255401
Random Forest,6,130363,5084,825,0.1861452597068959,4.023091541999747,not_applicable,0,0.8186175443090212,0.4629566404916354,0.11132124598729518,0.03554645950976159,0.3554980257315205,-0.25369489496685965,1.0499611200776444
XGBoost,6,130363,5084,825,0.13798875359023804,0.3610095049998563,not_applicable,0,0.8150385280368844,0.43186582809224316,0.11181336303357167,0.03507636211423048,0.3573203840352882,-0.3100897620967492,0.9905348750721057
RuleFit,6,130363,5084,825,0.18662218294221627,12.458856381999794,not_applicable,0,0.8146047941258084,0.47089358546533183,0.1113183169060363,0.022707943605766695,0.3550110367343654,-0.18031274217915536,1.0149045217992447
BRL,6,130363,5084,825,0.15377058027549018,42.40161995000017,not_applicable,0,0.5167074359466941,0.2792350651548485,0.13599273515097543,0.007867884606976822,0.44361609955136216,-0.42166486696251193,0.7173769653994554
EBM,6,130363,5084,825,0.15516171835642747,12.854111919000388,not_applicable,0,0.8322864237586003,0.46302873748789153,0.10835625913219715,0.03718816941560393,0.34541139839412044,-0.3392693985887471,0.9901361682914915
EBRO-MH,7,155921,5084,825,0.11870809961542872,2.2257645390000107,hybrid,0,0.7489757874589995,0.39106145251396646,0.1217105476491586,0.024037763928312274,0.3923764029026818,0.0664328770447167,1.0452199409585998
LR,7,155921,5084,825,0.15631871693872837,0.025987935000557627,not_applicable,0,0.8098324403936049,0.4530531845042679,0.1129551828979605,0.029589563945424786,0.35969189286705977,-0.2675392032051827,0.987685781276255
Random Forest,7,155921,5084,825,0.1711489759586553,2.993308942999647,not_applicable,0,0.8182504073370475,0.46277665995975853,0.11115166174262339,0.027524688435345016,0.35498041792912266,-0.17605417244646288,1.0580371209862558
XGBoost,7,155921,5084,825,0.1619481491281399,0.3550684789997831,not_applicable,0,0.8162512184536134,0.44990046449900467,0.11038746323236537,0.030839800367356816,0.3540019179016175,-0.22519380339860215,1.0397696558458722
RuleFit,7,155921,5084,825,0.19388236513667928,4.737040826999873,not_applicable,0,0.8107741894170634,0.4730195177956372,0.11175608604304539,0.022931431426644746,0.3564010636803068,-0.2414169718065597,0.9625515247985666
BRL,7,155921,5084,825,0.16566529909159408,19.86051437199967,not_applicable,0,0.5588995851921421,0.3029804727646454,0.13487568800315425,0.005696123845803119,0.4391240927827221,2.493461290233518,2.469504071168165
EBM,7,155921,5084,825,0.16289127921063146,15.621364787999482,not_applicable,0,0.830177236084726,0.4646265218821981,0.10830977620367235,0.03525381356060849,0.3463881101134763,-0.2713292998130927,1.0387469276258998
EBRO-MH,8,196613,5084,825,0.13882882740520358,2.1665389899999354,hybrid,0,0.735755298939145,0.38030560271646857,0.12337628532351609,0.0260061420278778,0.398299408242257,-0.23582772879881395,0.9737296891013948
LR,8,196613,5084,825,0.17890887041936232,0.0320949090000795,not_applicable,0,0.8062259599991463,0.4700887688151293,0.1125389419082839,0.016241387543380847,0.3593578849841734,-0.12753102270856886,0.9521251443651477
Random Forest,8,196613,5084,825,0.16771357824910194,4.8729662650002865,not_applicable,0,0.8159229296961159,0.4744933612858141,0.11175922470543295,0.02575601346163989,0.35533631033524804,-0.06476726369164192,1.053116775341704
XGBoost,8,196613,5084,825,0.13935338312000153,0.3558768479997525,not_applicable,0,0.8075304346588685,0.44842173771558735,0.11207961686996455,0.014780199040781948,0.3578147970690412,-0.1496688068906507,0.9786605039037957
RuleFit,8,196613,5084,825,0.12394026486827865,4.45204148799985,not_applicable,0,0.8051750659921592,0.4457793234271262,0.11403063041859356,0.020452719751022537,0.36104323254538173,-0.22389554237991785,0.9007087768121832
BRL,8,196613,5084,825,0.13354443512675113,27.80031698000039,not_applicable,0,0.5167131279927711,0.2792350651548485,0.13585657702676293,0.005507747836076826,0.44310857075843885,-0.42657271518685996,0.7219015262414018
EBM,8,196613,5084,825,0.1667220516914778,11.6754093619993,not_applicable,0,0.825165674116132,0.47528128196385955,0.10940899021849941,0.03245739974130339,0.34820494718081413,-0.24649594349904877,0.9767104615792422
EBRO-MH,9,262147,5084,825,0.1465377858587714,2.2470040719999815,hybrid,0,0.7632263940176596,0.4260900389932648,0.12171246826491207,0.03460933736514302,0.3897069106027818,-0.16275765696473637,0.944741051548868
LR,9,262147,5084,825,0.1854104021900705,0.029474485999344324,not_applicable,0,0.805678385166528,0.46508058326937834,0.11260176141626957,0.016235546980608216,0.3593707852526263,-0.11577882216719958,0.9855793803095577
Random Forest,9,262147,5084,825,0.1515337145745905,2.9460387799999808,not_applicable,0,0.8176575807381161,0.4608,0.11217049246198316,0.027884712493627103,0.3567134600758966,-0.19625291348991683,1.014065408932058
XGBoost,9,262147,5084,825,0.16776793981106863,0.2954235899997002,not_applicable,0,0.8081320839292194,0.46586910626319494,0.11250894322413794,0.016873780481390512,0.35845361293445666,-0.14706151544620674,1.000297239710213
RuleFit,9,262147,5084,825,0.1521739003661303,3.6234162230002767,not_applicable,0,0.8091061353141653,0.4562260202302058,0.11161524558117349,0.018503425640960813,0.35691354928103713,-0.04424762040130125,1.0550640297508023
BRL,9,262147,5084,825,0.15476479011445582,22.152313915999912,not_applicable,0,0.500484820024618,0.26542387927208166,0.1360069802442847,0.008100245893145647,0.44367077888487355,-0.42113461230841337,0.7168580434773
EBM,9,262147,5084,825,0.1757423864128615,12.415071612000247,not_applicable,0,0.8304857449821055,0.48416608022519353,0.10758641599521016,0.031081743135856287,0.34380835906114104,-0.17198176418337568,1.059942388279374
