threshold,net_benefit,treat_all,analysis,method
0.41999999999999993,0.023083935419225068,-0.4525400616274775,NHANES diabetes cross-validation,EBM
0.42999999999999994,0.021741046958668252,-0.4780232206033982,NHANES diabetes cross-validation,EBM
0.43999999999999995,0.02131776896906895,-0.5044164923998875,NHANES diabetes cross-validation,EBM
0.44999999999999996,0.02068312577379652,-0.5317695195344309,NHANES diabetes cross-validation,EBM
0.45999999999999996,0.01941538071463059,-0.5601356217480316,NHANES diabetes cross-validation,EBM
0.47,0.01875799561108798,-0.5895721429130887,NHANES diabetes cross-validation,EBM
0.4799999999999999,0.017629955799062208,-0.6201408379691096,NHANES diabetes cross-validation,EBM
0.48999999999999994,0.016431975164255496,-0.6519083053802686,NHANES diabetes cross-validation,EBM
0.49999999999999994,0.015293860607384756,-0.684946471487874,NHANES diabetes cross-validation,EBM
0.02,0.35707758583177407,0.35707758583177407,NHANES CKD cross-validation,EBRO-MH
0.03,0.3504495197063284,0.3504495197063284,NHANES CKD cross-validation,EBRO-MH
0.039999999999999994,0.34368336886993606,0.343683368869936,NHANES CKD cross-validation,EBRO-MH
0.049999999999999996,0.33677477275277745,0.33677477275277745,NHANES CKD cross-validation,EBRO-MH
0.06,0.32971918522887084,0.32971918522887084,NHANES CKD cross-validation,EBRO-MH
0.06999999999999999,0.322511864639934,0.322511864639934,NHANES CKD cross-validation,EBRO-MH
0.07999999999999999,0.3151478631686289,0.3151478631686289,NHANES CKD cross-validation,EBRO-MH
0.09,0.3076220155111413,0.3076220155111413,NHANES CKD cross-validation,EBRO-MH
0.09999999999999999,0.2999289267945984,0.2999289267945984,NHANES CKD cross-validation,EBRO-MH
0.10999999999999999,0.292062959679931,0.292062959679931,NHANES CKD cross-validation,EBRO-MH
0.11999999999999998,0.2840182205853848,0.28401822058538473,NHANES CKD cross-validation,EBRO-MH
0.12999999999999998,0.27578854495992944,0.27578854495992944,NHANES CKD cross-validation,EBRO-MH
0.13999999999999999,0.26736748152923095,0.2673674815292309,NHANES CKD cross-validation,EBRO-MH
0.14999999999999997,0.25874827542957485,0.25874827542957485,NHANES CKD cross-validation,EBRO-MH
0.15999999999999998,0.2499238501370698,0.24992385013706975,NHANES CKD cross-validation,EBRO-MH
0.16999999999999996,0.24088678809052846,0.24088678809052844,NHANES CKD cross-validation,EBRO-MH
0.17999999999999997,0.2316293098965105,0.2316293098965105,NHANES CKD cross-validation,EBRO-MH
0.18999999999999997,0.2221432519939983,0.22214325199399826,NHANES CKD cross-validation,EBRO-MH
0.19999999999999996,0.21202025586353948,0.21242004264392325,NHANES CKD cross-validation,EBRO-MH
0.20999999999999996,0.20262610995654645,0.20245067609511216,NHANES CKD cross-validation,EBRO-MH
0.21999999999999995,0.19356514132633543,0.1922256847629982,NHANES CKD cross-validation,EBRO-MH
0.22999999999999995,0.18384653725805117,0.18173510924043976,NHANES CKD cross-validation,EBRO-MH
0.23999999999999996,0.1777858826169903,0.17096846594097187,NHANES CKD cross-validation,EBRO-MH
0.24999999999999994,0.17110874200426443,0.15991471215351816,NHANES CKD cross-validation,EBRO-MH
0.25999999999999995,0.1628248717800957,0.1485622082637008,NHANES CKD cross-validation,EBRO-MH
0.26999999999999996,0.15448929520693988,0.13689867687005286,NHANES CKD cross-validation,EBRO-MH
0.27999999999999997,0.1479211087420043,0.12491115849324805,NHANES CKD cross-validation,EBRO-MH
0.29,0.14371302441514758,0.11258596354244871,NHANES CKD cross-validation,EBRO-MH
0.3,0.13935424916235148,0.09990862016448365,NHANES CKD cross-validation,EBRO-MH
0.31,0.13919532770927967,0.0868638175581718,NHANES CKD cross-validation,EBRO-MH
0.31999999999999995,0.13837325975166193,0.07343534428696857,NHANES CKD cross-validation,EBRO-MH
0.32999999999999996,0.13278490277821978,0.05960602106737106,NHANES CKD cross-validation,EBRO-MH
0.33999999999999997,0.13520062027524718,0.04535762744717975,NHANES CKD cross-validation,EBRO-MH
0.35,0.12899786780383796,0.030670821715597818,NHANES CKD cross-validation,EBRO-MH
0.36,0.12100213219616204,0.015525053304904002,NHANES CKD cross-validation,EBRO-MH
0.36999999999999994,0.12083291027853932,-0.00010153315057359613,NHANES CKD cross-validation,EBRO-MH
0.37999999999999995,0.11441639727629141,-0.016232203040098925,NHANES CKD cross-validation,EBRO-MH
0.38999999999999996,0.10764969065678635,-0.03289174735223177,NHANES CKD cross-validation,EBRO-MH
0.39999999999999997,0.09879175550817346,-0.050106609808102276,NHANES CKD cross-validation,EBRO-MH
0.41,0.09611145242311447,-0.06790502692349382,NHANES CKD cross-validation,EBRO-MH
0.41999999999999993,0.0866112785824572,-0.08631718256010579,NHANES CKD cross-validation,EBRO-MH
0.42999999999999994,0.08243556652826096,-0.10537537874537078,NHANES CKD cross-validation,EBRO-MH
0.43999999999999995,0.0739795918367347,-0.12511422479439532,NHANES CKD cross-validation,EBRO-MH
0.44999999999999996,0.06886024423337855,-0.14557084706338436,NHANES CKD cross-validation,EBRO-MH
0.45999999999999996,0.06682855563452578,-0.16678512200900258,NHANES CKD cross-validation,EBRO-MH
0.47,0.06112966166472222,-0.18879993563181402,NHANES CKD cross-validation,EBRO-MH
0.4799999999999999,0.05519107757913729,-0.21166147285550269,NHANES CKD cross-validation,EBRO-MH
0.48999999999999994,0.048173000543500995,-0.23541954095070855,NHANES CKD cross-validation,EBRO-MH
0.49999999999999994,0.045309168443496806,-0.26012793176972276,NHANES CKD cross-validation,EBRO-MH
0.02,0.35707758583177407,0.35707758583177407,NHANES CKD cross-validation,LR
0.03,0.3504660057591278,0.3504495197063284,NHANES CKD cross-validation,LR
0.039999999999999994,0.343727789623312,0.343683368869936,NHANES CKD cross-validation,LR
0.049999999999999996,0.3362978341375828,0.33677477275277745,NHANES CKD cross-validation,LR
0.06,0.3289252824025768,0.32971918522887084,NHANES CKD cross-validation,LR
0.06999999999999999,0.32102162001054635,0.322511864639934,NHANES CKD cross-validation,LR
0.07999999999999999,0.3136877723185316,0.3151478631686289,NHANES CKD cross-validation,LR
0.09,0.3053609503502894,0.3076220155111413,NHANES CKD cross-validation,LR
0.09999999999999999,0.29773750296138357,0.2999289267945984,NHANES CKD cross-validation,LR
0.10999999999999999,0.2902122613257948,0.292062959679931,NHANES CKD cross-validation,LR
0.11999999999999998,0.28258867997673964,0.28401822058538473,NHANES CKD cross-validation,LR
0.12999999999999998,0.2750900669068451,0.27578854495992944,NHANES CKD cross-validation,LR
0.13999999999999999,0.2672931025933456,0.2673674815292309,NHANES CKD cross-validation,LR
