dataset,method,repeat,fold,status,message
nhanes_ckd,EBRO-MH,5,5,succeeded,
nhanes_ckd,LR,5,5,succeeded,
nhanes_ckd,Random Forest,5,5,succeeded,
nhanes_ckd,XGBoost,5,5,succeeded,
nhanes_ckd,RuleFit,5,5,succeeded,
nhanes_ckd,BRL,5,5,succeeded,
nhanes_ckd,EBM,5,5,succeeded,
nhanes_ckd,EBRO-MH,6,1,succeeded,
nhanes_ckd,LR,6,1,succeeded,
nhanes_ckd,Random Forest,6,1,succeeded,
nhanes_ckd,XGBoost,6,1,succeeded,
nhanes_ckd,RuleFit,6,1,succeeded,
nhanes_ckd,BRL,6,1,succeeded,
nhanes_ckd,EBM,6,1,succeeded,
nhanes_ckd,EBRO-MH,6,2,succeeded,
nhanes_ckd,LR,6,2,succeeded,
nhanes_ckd,Random Forest,6,2,succeeded,
nhanes_ckd,XGBoost,6,2,succeeded,
nhanes_ckd,RuleFit,6,2,succeeded,
nhanes_ckd,BRL,6,2,succeeded,
nhanes_ckd,EBM,6,2,succeeded,
nhanes_ckd,EBRO-MH,6,3,succeeded,
nhanes_ckd,LR,6,3,succeeded,
nhanes_ckd,Random Forest,6,3,succeeded,
nhanes_ckd,XGBoost,6,3,succeeded,
nhanes_ckd,RuleFit,6,3,succeeded,
nhanes_ckd,BRL,6,3,succeeded,
nhanes_ckd,EBM,6,3,succeeded,
nhanes_ckd,EBRO-MH,6,4,succeeded,
nhanes_ckd,LR,6,4,succeeded,
nhanes_ckd,Random Forest,6,4,succeeded,
nhanes_ckd,XGBoost,6,4,succeeded,
nhanes_ckd,RuleFit,6,4,succeeded,
nhanes_ckd,BRL,6,4,succeeded,
nhanes_ckd,EBM,6,4,succeeded,
nhanes_ckd,EBRO-MH,6,5,succeeded,
nhanes_ckd,LR,6,5,succeeded,
nhanes_ckd,Random Forest,6,5,succeeded,
nhanes_ckd,XGBoost,6,5,succeeded,
nhanes_ckd,RuleFit,6,5,succeeded,
nhanes_ckd,BRL,6,5,succeeded,
nhanes_ckd,EBM,6,5,succeeded,
nhanes_ckd,EBRO-MH,7,1,succeeded,
nhanes_ckd,LR,7,1,succeeded,
nhanes_ckd,Random Forest,7,1,succeeded,
nhanes_ckd,XGBoost,7,1,succeeded,
nhanes_ckd,RuleFit,7,1,succeeded,
nhanes_ckd,BRL,7,1,succeeded,
